iter	Passed	Remaining
709	1271	519
710	1273	517
711	1275	515
712	1276	513
713	1277	511
714	1279	509
715	1280	507
716	1282	506
717	1283	504
718	1285	502
719	1287	500
720	1288	498
721	1290	496
722	1292	495
723	1293	493
724	1295	491
725	1297	489
726	1299	487
727	1301	486
728	1303	484
729	1304	482
730	1305	480
731	1307	478
732	1308	476
733	1309	474
734	1311	472
735	1312	470
736	1314	468
737	1315	466
738	1317	465
739	1319	463
740	1321	461
741	1323	460
742	1325	458
743	1327	456
744	1329	455
745	1331	453
746	1333	451
747	1335	449
748	1336	447
749	1338	446
750	1339	444
751	1341	442
752	1342	440
753	1344	438
754	1345	436
755	1346	434
756	1348	432
757	1349	430
758	1350	428
759	1351	426
760	1352	424
761	1354	422
762	1355	420
763	1356	418
764	1357	416
765	1358	415
766	1359	413
767	1361	411
768	1362	409
769	1363	407
770	1364	405
771	1365	403
772	1367	401
773	1368	399
774	1369	397
775	1370	395
776	1372	393
777	1373	391
778	1374	389
779	1375	387
780	1377	386
781	1378	384
782	1379	382
783	1380	380
784	1382	378
785	1383	376
786	1384	374
787	1385	372
788	1386	370
789	1387	368
790	1389	367
791	1390	365
792	1391	363
793	1393	361
794	1394	359
795	1395	357
796	1397	355
797	1398	354
798	1399	352
799	1400	350
800	1402	348
801	1403	346
802	1404	344
803	1405	342
804	1407	340
805	1408	338
806	1409	337
807	1410	335
808	1411	333
809	1412	331
810	1414	329
811	1415	327
812	1416	325
813	1417	323
814	1418	322
815	1419	320
816	1421	318
817	1422	316
818	1423	314
819	1424	312
820	1426	310
821	1428	309
822	1429	307
823	1431	305
824	1432	303
825	1433	302
826	1435	300
827	1436	298
828	1437	296
829	1439	294
830	1440	292
831	1442	291
832	1443	289
833	1444	287
834	1445	285
835	1446	283
836	1448	282
837	1449	280
838	1450	278
839	1452	276
840	1453	274
841	1455	273
842	1456	271
843	1457	269
844	1459	267
845	1460	265
846	1461	264
847	1463	262
848	1464	260
849	1466	258
850	1467	256
851	1468	255
852	1470	253
853	1471	251
854	1473	249
855	1474	248
856	1475	246
857	1477	244
858	1478	242
859	1479	240
860	1481	239
861	1482	237
862	1483	235
863	1485	233
864	1486	231
865	1487	230
866	1489	228
867	1491	226
868	1492	224
869	1493	223
870	1494	221
871	1496	219
872	1497	217
873	1498	216
874	1500	214
875	1501	212
876	1503	210
877	1504	209
878	1505	207
879	1506	205
880	1507	203
881	1509	201
882	1510	200
883	1511	198
884	1512	196
885	1514	194
886	1515	193
887	1517	191
888	1518	189
889	1519	187
890	1521	186
891	1522	184
892	1523	182
893	1525	180
894	1526	179
895	1527	177
896	1529	175
897	1530	173
898	1532	172
899	1533	170
900	1535	168
901	1536	166
902	1537	165
903	1539	163
904	1540	161
905	1542	159
906	1543	158
907	1544	156
908	1546	154
909	1547	153
910	1548	151
911	1549	149
912	1551	147
913	1552	146
914	1553	144
915	1554	142
916	1556	140
917	1557	139
918	1558	137
919	1559	135
920	1560	133
921	1562	132
922	1563	130
923	1565	128
924	1566	126
925	1567	125
926	1569	123
927	1570	121
